date,price
2021-03-24T00:00:00Z,1673.8591835627928504
2021-03-25T00:00:00Z,1581.6310559313660633
2021-03-26T00:00:00Z,1587.2979641585232002
2021-03-27T00:00:00Z,1700.3668693581184925
2021-03-28T00:00:00Z,1713.8378756834458727
2021-03-29T00:00:00Z,1689.0367982059096903
2021-03-30T00:00:00Z,1817.6263880888679978
2021-03-31T00:00:00Z,1840.2949519853959828
2021-04-01T00:00:00Z,1915.8325358462234362
2021-04-02T00:00:00Z,1970.4711995232753452
2021-04-03T00:00:00Z,2134.1017882972942061
2021-04-04T00:00:00Z,2016.6672472930365529
2021-04-05T00:00:00Z,2077.7552124224071122
2021-04-06T00:00:00Z,2097.7963827792596021
2021-04-07T00:00:00Z,2115.0554517461082469
2021-04-08T00:00:00Z,1989.1480619041722093
